high,average,low,humi,notice,tropical night
27.8,24,20.9,19.2,100,0
27,23.2,20.8,19.5,99.9,0
26.9,23.1,20.7,19.6,100,0
30.3,29.9,23.3,17.4,76.5,0
29.8,28.8,23.1,18.9,83.6,0
28.4,26.9,23.3,20.1,80.3,0
26.4,25.5,22.3,19.8,73.4,0
27.3,26.2,22.6,19.4,76.6,0
28,25.8,22.4,19.7,89,0
29.1,27.4,23.8,20.2,84.5,0
27.8,26.3,22.4,19.7,78.1,0
28.3,26.7,23,20.1,82.4,0
27.4,25.6,22.5,18.8,86.5,0
30.3,29,24.3,20,79.4,0
28.4,26.8,23.7,21.6,77.6,0
27.8,25.4,22.5,20.6,90.8,0
25.9,23.7,21.3,19.5,83.1,0
27.5,25.8,22.8,19.8,79.8,0
28.2,25.8,22.8,20.5,84.6,0
28.7,27.2,24.7,21.9,75.3,0
26.9,24,21.7,20.3,95.6,0
28.3,27.2,23.8,20.6,74.3,0
27,24.9,22.2,20.5,88.3,0
28.9,26.6,23.5,21.5,89.8,0
28.6,25.3,22.3,20.7,91.4,0
26.8,23.1,21.9,20.1,98.6,0
28.2,24.6,22.7,20.8,91,0
29.4,26,22.4,20.6,97.8,0
27.3,23.7,21.5,19.7,95.5,0
28.7,24.9,22.1,21,98.9,0
29.8,26,22.3,19.9,99,0
29.3,26,21.4,19.4,96.6,0
27.1,23.8,21.5,20.1,92,0
32.7,31.2,27.6,23.4,78.8,1
26.3,22.8,21.8,21,96,0
27.3,25.7,22.3,19.8,87.4,0
29,27.1,22.9,19.9,86.6,0
27.2,25.8,21.9,18.9,81.9,0
27.2,26,22.3,19.5,81.5,0
27.1,27.1,21.2,17.1,71.1,0
28.5,27.6,22.4,19.8,77.9,0
27.5,26.1,22.1,19.4,82.9,0
27,25,21.9,19.8,86.9,0
28.2,26.2,22.5,19.7,88.1,0
27.3,25.1,22,20.2,87.4,0
27,24.7,21.6,19.5,91,0
26.9,24.5,21.5,19.5,90.4,0
